ID,gCF,gCF_N,gDF1,gDF1_N,gDF2,gDF2_N,gDFP,gDFP_N,gN,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,posterior_prob,branchlength,chrom,Node_17,Node_18,Node_19,Pop_Nodes
1,95.8,433,0.22,1,0,0,3.98,18,452,94.6,3270.18,2.81,88.83,2.59,83.57,3442.58,100,0.00344279,Z,FALSE,FALSE,FALSE,FALSE
2,63.05,285,0.88,4,1.55,7,34.51,156,452,86.08,986.62,8.57,103.63,5.35,61.51,1151.76,100,0.00131878,Z,FALSE,FALSE,FALSE,FALSE
3,35.4,160,4.87,22,10.84,49,48.89,221,452,54.28,219.25,14.69,57.48,31.03,131.59,408.32,100,0.000463431,Z,FALSE,FALSE,FALSE,FALSE
4,50.22,227,7.96,36,6.64,30,35.18,159,452,79.9,186.46,14.94,34.87,5.15,11.07,232.4,100,0.00107274,Z,FALSE,FALSE,FALSE,FALSE
5,26.77,121,14.82,67,14.38,65,44.03,199,452,65.55,102.27,14.93,20.01,19.52,27.69,149.97,100,0.00038724,Z,FALSE,FALSE,FALSE,FALSE
6,55.97,253,4.65,21,1.33,6,38.05,172,452,86.03,579.59,6.98,43.76,6.99,43.4,666.75,100,0.00121226,Z,FALSE,FALSE,FALSE,FALSE
7,34.51,156,15.71,71,18.14,82,31.64,143,452,52.27,144.85,21.52,57.26,26.21,72.28,274.39,100,0.000230884,Z,FALSE,FALSE,FALSE,FALSE
8,56.19,254,13.05,59,5.75,26,25,113,452,80.16,371.52,10.32,46.31,9.51,41.54,459.37,100,0.000731489,Z,FALSE,FALSE,FALSE,FALSE
9,56.86,257,3.54,16,3.1,14,36.5,165,452,76.86,990.31,13.23,153.9,9.91,119.02,1263.23,100,0.000988461,Z,FALSE,FALSE,FALSE,FALSE
10,57.08,258,0.88,4,0.88,4,41.15,186,452,88.96,804.26,4.62,39.6,6.42,55.52,899.38,100,0.00175039,Z,FALSE,FALSE,FALSE,FALSE
11,34.96,158,5.31,24,10.62,48,49.12,222,452,62.4,166.78,12.7,34.58,24.89,65.85,267.21,100,0.000368829,Z,FALSE,FALSE,FALSE,FALSE
12,17.7,80,18.81,85,13.72,62,49.78,225,452,35.13,77.8,37.19,83.09,27.68,61.88,222.77,100,0.000150247,Z,FALSE,FALSE,FALSE,TRUE
13,40.93,185,8.41,38,7.08,32,43.58,197,452,69.64,156.24,14.74,34.24,15.62,35.46,225.94,100,0.000387815,Z,FALSE,FALSE,FALSE,FALSE
14,42.92,194,8.63,39,12.61,57,35.84,162,452,84.39,278.24,6.98,23.44,8.64,28.74,330.42,100,0.000980468,Z,FALSE,FALSE,FALSE,FALSE
15,44.47,201,0.44,2,0.66,3,54.42,246,452,74.39,379.09,12.94,59.52,12.67,59.14,497.75,100,0.00111888,Z,FALSE,FALSE,FALSE,FALSE
16,19.47,88,4.87,22,6.42,29,69.25,313,452,60.82,78.15,19.72,24.13,19.46,25.01,127.29,100,0.000600072,Z,FALSE,FALSE,FALSE,FALSE
17,7.3,33,5.75,26,1.55,7,85.4,386,452,48.56,132.07,26.36,70.34,25.07,60.48,262.89,100,0.000412468,Z,TRUE,FALSE,FALSE,FALSE
18,6.86,31,0.88,4,1.11,5,91.15,412,452,45.91,186.26,12,45.61,42.1,163.79,395.66,100,0.000505645,Z,FALSE,TRUE,FALSE,FALSE
19,6.64,30,0.88,4,9.07,41,83.41,377,452,28.85,91.24,8.51,30.23,62.64,238.74,360.21,100,0.000366787,Z,FALSE,FALSE,TRUE,FALSE
20,27.65,125,3.1,14,1.55,7,67.7,306,452,81.71,207.46,12.94,28.8,5.35,12.23,248.49,100,0.000898608,Z,FALSE,FALSE,FALSE,FALSE
21,11.5,52,4.2,19,12.83,58,71.46,323,452,62.01,190.26,24.21,59.16,13.78,36.46,285.88,100,0.000246005,Z,FALSE,FALSE,FALSE,FALSE
22,28.98,131,0.44,2,1.77,8,68.81,311,452,82.09,267.6,7.6,18.14,10.31,27.07,312.81,100,0.000572614,Z,FALSE,FALSE,FALSE,FALSE
23,13.05,59,1.33,6,1.11,5,84.51,382,452,60.19,198.32,24.5,74.56,15.31,49.6,322.48,100,0.000663615,Z,FALSE,FALSE,FALSE,FALSE
24,17.92,81,1.33,6,1.55,7,79.2,358,452,69.94,173.76,19.65,48.13,10.41,26.08,247.97,100,0.000406988,Z,FALSE,FALSE,FALSE,FALSE
25,11.28,51,7.08,32,15.27,69,66.37,300,452,48.3,52.24,17.59,18.73,34.11,34.67,105.64,100,0.000129382,Z,FALSE,FALSE,FALSE,TRUE
26,17.04,77,11.06,50,6.42,29,65.49,296,452,48.21,35.33,20.89,15.1,30.9,22.27,72.7,100,0.000155562,Z,FALSE,FALSE,FALSE,TRUE
27,16.81,76,1.99,9,4.87,22,76.33,345,452,82.84,129.75,8.5,13.28,8.65,13.53,156.56,100,0.000530155,Z,FALSE,FALSE,FALSE,FALSE
28,15.49,70,7.3,33,9.96,45,67.26,304,452,31.57,22.68,27.92,20.19,40.51,29.15,72.02,100,0.000108208,Z,FALSE,FALSE,FALSE,TRUE
29,29.87,135,9.51,43,8.19,37,52.43,237,452,89.18,88.13,6.7,6.72,4.12,4.27,99.12,100,0.000432515,Z,FALSE,FALSE,FALSE,FALSE
