chrom	start	end	mean	p0.500	p0.025	p0.975
scaffold-ma1	0	100000	0.02148499967	0.01906000562	0.01033030023	0.04196842588
scaffold-ma1	100000	200000	0.00764415862	0.007411505519	0.004734818658	0.01229898743
scaffold-ma1	200000	300000	0.009144994984	0.008849477428	0.006047865423	0.01372573423
scaffold-ma1	300000	400000	0.006698592963	0.0063958433	0.004255583323	0.01128672654
scaffold-ma1	400000	500000	0.01709877843	0.01649238084	0.0102079642	0.02601268824
scaffold-ma1	500000	600000	0.01286583873	0.01144684963	0.006817669975	0.02894269941
scaffold-ma1	600000	700000	0.01356690149	0.01281941972	0.007119927146	0.02425653883
scaffold-ma1	700000	800000	0.006592796281	0.006345613354	0.004425585177	0.009824968382
scaffold-ma1	800000	900000	0.007833257376	0.007724288202	0.004739189318	0.01224512273
scaffold-ma1	900000	1000000	0.004535635463	0.004358732019	0.003075717444	0.006815649963
scaffold-ma1	1000000	1100000	0.008123906527	0.007618003968	0.004657704275	0.01393177849
scaffold-ma1	1100000	1200000	0.008962140023	0.008686636428	0.005503787426	0.0141295314
scaffold-ma1	1200000	1300000	0.008778837027	0.008517972649	0.006204957351	0.01235326548
scaffold-ma1	1300000	1400000	0.005678684391	0.005608301547	0.003993503031	0.007922435438
scaffold-ma1	1400000	1500000	0.008042028523	0.007943066916	0.004587050355	0.0125677495
scaffold-ma1	1500000	1600000	0.004901389535	0.004878380727	0.003409149423	0.006649395426
scaffold-ma1	1600000	1700000	0.005631112457	0.005494161495	0.003610459433	0.008176185223
scaffold-ma1	1700000	1800000	0.007036736476	0.0068932956	0.005197817981	0.00988860979
scaffold-ma1	1800000	1900000	0.004789371175	0.004674937125	0.003165164503	0.006884907848
scaffold-ma1	1900000	2000000	0.007513977841	0.007068573268	0.00488874455	0.01239325285
scaffold-ma1	2000000	2100000	0.01269202306	0.01231447947	0.007563904561	0.02025187676
scaffold-ma1	2100000	2200000	0.01049048041	0.01022334604	0.007290005842	0.01506597368
scaffold-ma1	2200000	2300000	0.009583885604	0.009593339762	0.005876820109	0.01471391991
scaffold-ma1	2300000	2400000	0.003936223819	0.003771841405	0.002874214243	0.005545543156
scaffold-ma1	2400000	2500000	0.008952813981	0.008012944812	0.004428791288	0.01987780959
scaffold-ma1	2500000	2600000	0.008791607825	0.008325938738	0.004988477625	0.01508456207
scaffold-ma1	2600000	2700000	0.003795328656	0.003604410612	0.002816207057	0.006242807476
scaffold-ma1	2700000	2800000	0.008239866594	0.007844136744	0.004858018607	0.01383542323
scaffold-ma1	2800000	2900000	0.008514455511	0.008264569016	0.005310775411	0.01319397494
scaffold-ma1	2900000	3000000	0.007418156259	0.007020443871	0.004326396056	0.01298668175
scaffold-ma1	3000000	3100000	0.007695764908	0.007653151542	0.005784603997	0.009880116662
scaffold-ma1	3100000	3200000	0.004854675647	0.004569847871	0.003135826734	0.007285279912
scaffold-ma1	3200000	3300000	0.007390974517	0.007112949589	0.004320513686	0.01224308338
scaffold-ma1	3300000	3400000	0.007696568159	0.008817635054	0.001800986132	0.01177813869
scaffold-ma1	3400000	3500000	0.009466528	0.009233374715	0.005206024655	0.01590122878
scaffold-ma1	3500000	3600000	0.007518247186	0.007404458669	0.004962134738	0.01083486728
scaffold-ma1	3600000	3700000	0.007846694224	0.007757174441	0.005871040435	0.01036672938
